algorithm,runtime,graph_nodes,edge_probability,Budget
spreading_minbudget,2.8638310999958776,200,0.5,"(9, [(31, 1), (13, 1), (41, 1), (45, 1), (103, 1), (116, 1), (74, 1), (127, 1), (68, 1)])"
heuristic_minbudget,3.336111199998413,200,0.5,"(7, [(45, 1), (41, 1), (116, 1), (68, 1), (103, 1), (127, 1), (74, 1)])"
spreading_minbudget,6.566627099993639,200,0.5,"(19, [(1, 1), (76, 1), (34, 1), (112, 1), (160, 1), (193, 1), (197, 1), (55, 1), (69, 1), (86, 1), (122, 1), (139, 1), (141, 1), (159, 1), (196, 1), (137, 1), (16, 1), (153, 1), (93, 1)])"
heuristic_minbudget,4.1070819000015035,200,0.5,"(17, [(86, 1), (139, 1), (193, 1), (122, 1), (196, 1), (69, 1), (93, 1), (159, 1), (55, 1), (153, 1), (112, 1), (34, 1), (141, 1), (137, 1), (16, 1), (160, 1), (197, 1)])"
spreading_minbudget,11.145615999994334,200,0.5,"(35, [(99, 1), (138, 1), (48, 1), (32, 1), (44, 1), (52, 1), (56, 1), (85, 1), (103, 1), (107, 1), (120, 1), (130, 1), (140, 1), (160, 1), (175, 1), (180, 1), (191, 1), (8, 1), (25, 1), (55, 1), (67, 1), (69, 1), (74, 1), (86, 1), (132, 1), (139, 1), (141, 1), (159, 1), (68, 1), (98, 1), (104, 1), (186, 1), (177, 1), (119, 1), (21, 1)])"
heuristic_minbudget,6.92385840001225,200,0.5,"(33, [(103, 1), (67, 1), (68, 1), (130, 1), (132, 1), (48, 1), (186, 1), (177, 1), (69, 1), (21, 1), (191, 1), (98, 1), (104, 1), (107, 1), (119, 1), (180, 1), (32, 1), (140, 1), (159, 1), (85, 1), (120, 1), (86, 1), (175, 1), (52, 1), (8, 1), (55, 1), (25, 1), (139, 1), (160, 1), (56, 1), (44, 1), (141, 1), (74, 1)])"
spreading_minbudget,7.714225499992608,200,0.5,"(27, [(194, 1), (30, 1), (19, 1), (41, 1), (56, 1), (65, 1), (85, 1), (87, 1), (115, 1), (116, 1), (121, 1), (130, 1), (140, 1), (143, 1), (168, 1), (175, 1), (180, 1), (181, 1), (17, 1), (67, 1), (122, 1), (138, 1), (141, 1), (196, 1), (68, 1), (81, 1), (104, 1)])"
heuristic_minbudget,4.569759200006956,200,0.5,"(26, [(30, 1), (138, 1), (121, 1), (130, 1), (41, 1), (116, 1), (67, 1), (196, 1), (68, 1), (87, 1), (19, 1), (168, 1), (17, 1), (104, 1), (115, 1), (180, 1), (85, 1), (143, 1), (140, 1), (175, 1), (181, 1), (122, 1), (56, 1), (65, 1), (141, 1), (81, 1)])"
spreading_minbudget,5.409246000010171,200,0.5,"(21, [(184, 1), (34, 1), (45, 1), (52, 1), (80, 1), (103, 1), (112, 1), (120, 1), (130, 1), (143, 1), (168, 1), (175, 1), (193, 1), (199, 1), (8, 1), (28, 1), (109, 1), (135, 1), (198, 1), (61, 1), (119, 1)])"
heuristic_minbudget,4.488193300014245,200,0.5,"(21, [(184, 1), (45, 1), (193, 1), (61, 1), (130, 1), (119, 1), (103, 1), (199, 1), (80, 1), (52, 1), (28, 1), (120, 1), (143, 1), (175, 1), (34, 1), (135, 1), (168, 1), (8, 1), (109, 1), (112, 1), (198, 1)])"
