algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.08782399992924184,2,50,0.5,15
heuristic_maxsave,0.04897760006133467,2,50,0.5,15
spreading_maxsave,0.09769130009226501,3,50,0.5,16
heuristic_maxsave,0.05284139991272241,3,50,0.5,16
spreading_maxsave,0.1310759000480175,5,50,0.5,18
heuristic_maxsave,0.06983190006576478,5,50,0.5,18
spreading_maxsave,0.1682382000144571,7,50,0.5,20
heuristic_maxsave,0.07720010005868971,7,50,0.5,20
spreading_maxsave,0.24024750001262873,10,50,0.5,23
heuristic_maxsave,0.12916689994744956,10,50,0.5,23
spreading_maxsave,0.05518509994726628,1,50,0.8,6
heuristic_maxsave,0.043722900096327066,1,50,0.8,6
spreading_maxsave,0.07324960001278669,2,50,0.8,7
heuristic_maxsave,0.05806449998635799,2,50,0.8,7
spreading_maxsave,0.08674509997945279,3,50,0.8,8
heuristic_maxsave,0.17753839993383735,3,50,0.8,8
spreading_maxsave,0.11687530006747693,5,50,0.8,10
heuristic_maxsave,0.11919490003492683,5,50,0.8,10
spreading_maxsave,0.17817650001961738,7,50,0.8,12
heuristic_maxsave,0.1428634999319911,7,50,0.8,12
spreading_maxsave,0.21175599994603544,10,50,0.8,15
heuristic_maxsave,0.18753610004205257,10,50,0.8,15
spreading_maxsave,0.05639010004233569,1,50,0.8,4
heuristic_maxsave,0.0390433999709785,1,50,0.8,4
spreading_maxsave,0.07036190002691001,2,50,0.8,5
heuristic_maxsave,0.11817479995079339,2,50,0.8,5
spreading_maxsave,0.1062734000151977,3,50,0.8,6
heuristic_maxsave,0.08409829996526241,3,50,0.8,6
spreading_maxsave,0.13665530004072934,5,50,0.8,8
heuristic_maxsave,0.11389879998750985,5,50,0.8,8
spreading_maxsave,0.15380159998312593,7,50,0.8,8
heuristic_maxsave,0.15436220006085932,7,50,0.8,8
spreading_maxsave,0.22939680004492402,10,50,0.8,8
heuristic_maxsave,0.29379400005564094,10,50,0.8,8
spreading_maxsave,0.05584149993956089,1,50,0.8,1
heuristic_maxsave,0.04291760001797229,1,50,0.8,1
spreading_maxsave,0.06911639997269958,2,50,0.8,2
heuristic_maxsave,0.059307900024577975,2,50,0.8,2
