algorithm,runtime,graph_nodes,edge_probability,Budget,Budget_numeric
spreading_minbudget,0.4916203999891877,50,0.8,"(14, [(4, 1), (11, 1), (13, 1), (17, 1), (24, 1), (25, 1), (30, 1), (31, 1), (33, 1), (37, 1), (45, 1), (47, 1), (27, 1), (48, 1)])",14
heuristic_minbudget,0.7389349000295624,50,0.8,"(14, [(4, 1), (47, 1), (37, 1), (45, 1), (17, 1), (31, 1), (11, 1), (13, 1), (30, 1), (24, 1), (48, 1), (27, 1), (25, 1), (33, 1)])",14
spreading_minbudget,0.1017437999835237,50,0.8,"(4, [(36, 1), (45, 1), (46, 1), (41, 1)])",4
heuristic_minbudget,0.5861899000010453,50,0.8,"(4, [(45, 1), (36, 1), (46, 1), (41, 1)])",4
spreading_minbudget,1.738076500012539,100,0.1,"(9, [(71, 1), (90, 1), (34, 1), (22, 1), (59, 1), (17, 1), (40, 1), (16, 1), (49, 1)])",9
heuristic_minbudget,0.0978915000450797,100,0.1,"(5, [(34, 1), (16, 1), (17, 1), (49, 1), (40, 1), (33, 2), (81, 2), (85, 2), (71, 2), (1, 2)])",5
spreading_minbudget,0.557641799969133,100,0.1,"(3, [(47, 1), (35, 1), (19, 1), (43, 2), (1, 2), (2, 2)])",3
heuristic_minbudget,0.123288600007072,100,0.1,"(4, [(16, 1), (22, 1), (45, 1), (34, 1), (44, 2), (43, 2), (31, 2), (63, 2)])",4
spreading_minbudget,1.442174299969338,100,0.1,"(9, [(75, 1), (25, 1), (74, 1), (16, 1), (14, 1), (11, 1), (72, 1), (45, 1), (49, 1)])",9
heuristic_minbudget,0.1640132000320591,100,0.1,"(6, [(45, 1), (16, 1), (49, 1), (72, 1), (82, 1), (34, 1), (21, 2), (96, 2), (81, 2), (44, 2), (60, 2), (94, 2)])",6
spreading_minbudget,1.6560687000164762,100,0.1,"(9, [(16, 1), (92, 1), (74, 1), (49, 1), (40, 1), (8, 1), (72, 1), (22, 1), (45, 1)])",9
heuristic_minbudget,0.1273157000541687,100,0.1,"(6, [(16, 1), (22, 1), (45, 1), (72, 1), (40, 1), (34, 1), (9, 2), (43, 2), (86, 2), (70, 2), (21, 2), (94, 2)])",6
spreading_minbudget,1.4755227999994531,100,0.1,"(8, [(16, 1), (7, 1), (22, 1), (41, 1), (79, 1), (19, 1), (4, 1), (40, 1)])",8
heuristic_minbudget,0.1121750000165775,100,0.1,"(6, [(22, 1), (40, 1), (16, 1), (45, 1), (34, 1), (72, 1), (21, 2), (94, 2), (31, 2), (9, 2), (5, 2), (23, 2)])",6
spreading_minbudget,0.5782591999741271,100,0.1,"(2, [(45, 1), (11, 1), (76, 2), (2, 2)])",2
